,dataset,model_type,num_layers,readout_type,acc,acc,acc_foreground,acc_foreground,iou,iou,iou_foreground,iou_foreground,loss,loss,loss_foreground,loss_foreground
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0,mnist,baseline1_flexible,2,linear,0.8852035960102083,0.006466794896541812,0.1376955815064907,0.056815359490106104,0.19645089548587796,0.07296774858536148,0.09692608938038345,0.03508191353550852,0.33537177017211917,0.12660794534537334,2.438303090019226,0.6724331885000413
1,mnist,baseline1_flexible,4,linear,0.8919283061885833,0.0139427305246176,0.19190662839114664,0.11370262824047793,0.22061901335239412,0.12208998817863616,0.13005558854401106,0.07271325307202939,0.3536699204111099,0.18049036172292604,2.487241865768433,0.9870294483810964
2,mnist,baseline1_flexible,8,linear,0.9219720697307586,0.019267818209086518,0.4204649087429046,0.14832629028677255,0.40280614054679864,0.14202966831532735,0.30319825091123576,0.10735573820234415,0.24620486961364746,0.15783169946939296,1.7565967541122436,0.8962937236958202
3,mnist,baseline1_flexible,16,linear,0.9419245341396332,0.051547255015332645,0.568555555639267,0.39296812243863966,0.5477509613800049,0.37902398659116643,0.5047159383201599,0.34951574378160993,0.2680896366530657,0.2949018223431358,1.7332183195352555,1.797336954714879
4,mnist,baseline1_flexible,32,linear,0.9027870709991456,0.05702472758143592,0.26959682463645934,0.4341218197499218,0.2650650143718719,0.42687214139968677,0.2543721764945984,0.40964883460867585,0.5026036710840464,0.31010331162164617,3.122952629323006,1.9098867427234767
5,mnist,conv_recurrent2,16,fft,0.9639642092132569,0.03507200616419951,0.7333590367698669,0.2655933086621918,0.7058430518245696,0.25888362172537727,0.6557512670326233,0.24617453076776497,0.13557121599823233,0.1981370830274852,0.934375300731659,1.2261234409697945
6,mnist,conv_recurrent2,16,last,0.9074134719753266,0.029195391377999994,0.31586929822444915,0.22938029752616973,0.31907917937278746,0.2291596983833055,0.23758227144718166,0.17658370604957493,0.34759504158020016,0.24070170809941382,2.3411108688163758,1.377952658391503
7,mnist,conv_recurrent2,16,linear,0.9711870918083191,0.03692791831032145,0.7863706957244873,0.279576086918263,0.7619746570301056,0.272796094901299,0.727617334690094,0.26295794142312773,0.11546528873622415,0.20434172018210744,0.7771730121862888,1.253620861298423
8,mnist,conv_recurrent2,16,max_time,0.9213436460685729,0.006556163739311198,0.42219578096866606,0.05123145681969903,0.4265840824222565,0.0446987100879051,0.30826578544616695,0.04438873969656746,0.20808917524814602,0.017710710407391934,1.5657779862594605,0.13385112227668866
9,mnist,conv_recurrent2,16,mean_time,0.9205837599277495,0.012298067025466325,0.4200699796819687,0.0886275941230714,0.4265073748064041,0.06727476372627064,0.31029912726879116,0.07395937939139478,0.20924055225849147,0.028952051600100583,1.5725237196540833,0.21861001953568865
10,mnist,cornn_model2,16,fft,0.966557711429596,0.007464975115442468,0.75819575217247,0.05493963334163276,0.7238217116165162,0.05907692125985412,0.653681288022995,0.06923381575671918,0.09657296574950211,0.020126749994200815,0.7228968966770172,0.15116576321677005
11,mnist,cornn_model2,16,last,0.932464209432602,0.010132858701540624,0.5021440065288544,0.07581676684836501,0.4888923988676071,0.07708852653456685,0.3855746590328216,0.07144431084379557,0.17932597788333887,0.02523674591534497,1.3447886672973632,0.18952554705650318
12,mnist,cornn_model2,16,linear,0.9866825006294251,0.003317711259430452,0.9031420013046265,0.02403567080086144,0.8838261528968812,0.028943734601852476,0.851558944568634,0.03654014851736831,0.04036397550493473,0.00916947914534464,0.3018923436760902,0.06895899824257573
13,mnist,cornn_model2,16,max_time,0.9290942202091218,0.009893489020920994,0.48161777907371517,0.06994561108699812,0.4702090346765518,0.06982613116669568,0.36586523974895474,0.06692441667066582,0.18561654548645018,0.02207355030939086,1.3940190658569336,0.1678931721277439
14,mnist,cornn_model2,16,mean_time,0.926620290145874,0.010508567460908617,0.45985787541389467,0.0804150955671998,0.45629016372203823,0.07343070191515864,0.35158407117366786,0.07351670479816234,0.19649355087995524,0.027447184512424814,1.472836528081894,0.2070397889594648
