,,,acc,acc,acc_foreground,acc_foreground,iou,iou,iou_foreground,iou_foreground,loss,loss,loss_foreground,loss_foreground
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
MNIST,CNN,2,0.89,0.01,0.14,0.06,0.2,0.07,0.1,0.04,0.34,0.13,2.44,0.67
MNIST,CNN,4,0.89,0.01,0.19,0.11,0.22,0.12,0.13,0.07,0.35,0.18,2.49,0.99
MNIST,CNN,8,0.92,0.02,0.42,0.15,0.4,0.14,0.3,0.11,0.25,0.16,1.76,0.9
MNIST,CNN,16,0.94,0.05,0.57,0.39,0.55,0.38,0.5,0.35,0.27,0.29,1.73,1.8
MNIST,CNN,32,0.9,0.06,0.27,0.43,0.27,0.43,0.25,0.41,0.5,0.31,3.12,1.91
MNIST,LSTM,linear,0.97,0.04,0.79,0.28,0.76,0.27,0.73,0.26,0.12,0.2,0.78,1.25
MNIST,LSTM,fft,0.96,0.04,0.73,0.27,0.71,0.26,0.66,0.25,0.14,0.2,0.93,1.23
MNIST,LSTM,last,0.91,0.03,0.32,0.23,0.32,0.23,0.24,0.18,0.35,0.24,2.34,1.38
MNIST,LSTM,mean_time,0.92,0.01,0.42,0.09,0.43,0.07,0.31,0.07,0.21,0.03,1.57,0.22
MNIST,LSTM,max_time,0.92,0.01,0.42,0.05,0.43,0.04,0.31,0.04,0.21,0.02,1.57,0.13
MNIST,CoRNN,linear,0.99,0.0,0.9,0.02,0.88,0.03,0.85,0.04,0.04,0.01,0.3,0.07
MNIST,CoRNN,fft,0.97,0.01,0.76,0.05,0.72,0.06,0.65,0.07,0.1,0.02,0.72,0.15
MNIST,CoRNN,last,0.93,0.01,0.5,0.08,0.49,0.08,0.39,0.07,0.18,0.03,1.34,0.19
MNIST,CoRNN,mean_time,0.93,0.01,0.46,0.08,0.46,0.07,0.35,0.07,0.2,0.03,1.47,0.21
MNIST,CoRNN,max_time,0.93,0.01,0.48,0.07,0.47,0.07,0.37,0.07,0.19,0.02,1.39,0.17
Tetrominoes,CNN,2,0.89,0.01,0.24,0.08,0.24,0.09,0.14,0.05,0.27,0.13,1.74,0.62
Tetrominoes,CNN,4,0.9,0.02,0.31,0.16,0.27,0.14,0.2,0.11,0.28,0.19,1.76,0.94
Tetrominoes,CNN,8,0.96,0.04,0.74,0.26,0.66,0.23,0.64,0.22,0.11,0.19,0.7,1.0
Tetrominoes,CNN,16,0.91,0.07,0.4,0.51,0.4,0.51,0.4,0.51,0.39,0.33,2.14,1.83
Tetrominoes,CNN,32,0.9,0.07,0.33,0.47,0.33,0.47,0.32,0.47,0.41,0.31,2.26,1.67
Tetrominoes,LSTM,linear,0.99,0.0,0.97,0.02,0.96,0.02,0.94,0.03,0.02,0.01,0.13,0.05
Tetrominoes,LSTM,fft,0.99,0.01,0.95,0.04,0.93,0.06,0.91,0.07,0.03,0.02,0.18,0.11
Tetrominoes,LSTM,last,0.94,0.06,0.59,0.41,0.54,0.39,0.52,0.38,0.24,0.28,1.37,1.51
Tetrominoes,LSTM,mean_time,0.95,0.04,0.64,0.25,0.57,0.24,0.53,0.23,0.15,0.18,0.95,0.96
Tetrominoes,LSTM,max_time,0.94,0.04,0.62,0.3,0.56,0.3,0.52,0.31,0.16,0.18,0.99,0.95
Tetrominoes,CoRNN,linear,1.0,0.0,0.99,0.0,0.98,0.01,0.98,0.01,0.01,0.0,0.05,0.02
Tetrominoes,CoRNN,fft,1.0,0.0,0.98,0.01,0.98,0.01,0.97,0.01,0.01,0.0,0.07,0.03
Tetrominoes,CoRNN,last,0.99,0.01,0.94,0.06,0.92,0.08,0.9,0.09,0.03,0.02,0.21,0.14
Tetrominoes,CoRNN,mean_time,0.99,0.01,0.92,0.07,0.89,0.1,0.87,0.11,0.04,0.02,0.24,0.14
Tetrominoes,CoRNN,max_time,0.98,0.02,0.88,0.11,0.85,0.14,0.81,0.15,0.05,0.03,0.35,0.24
